Source	Target
bormor	ptichka
bormor	k0in
bormor	k_kosen
kuzmitch	ptichka
kuzmitch	kammerer
kuzmitch	lotrin
kuzmitch	oil_luck_oie
zakusha	ptichka
crazyhamster	ptichka
lilita	ptichka
brantor	ptichka
brantor	neomega
brantor	tigrafamily
zombiek	ptichka
zombiek	kammerer
zombiek	torkes
phoneme	ptichka
phoneme	lotrin
lucysd	ptichka
zgollum	ptichka
gray_ru	ptichka
spintongues	ptichka
spintongues	losthost
ksusha	ptichka
ksusha	lotrin
ksusha	melamory_me
juliy	ptichka
juliy	giraffoman
juliy	bofhland
blackrain	ptichka
blackrain	giraffoman
blackrain	tigrafamily
blackrain	opex1986
jools_joyce	ptichka
ktulhu	ptichka
levkin	ptichka
geneus	ptichka
camel_ru	ptichka
akuaku	ptichka
akuaku	porco
akuaku	tigrafamily
akuaku	pats0n
akuaku	lapshinji
akuaku	togusa_rus
akuaku	gameguru_ru
akuaku	dr_zloben
akuaku	mamuki
akuaku	weaselchuck
_scorp_	ptichka
_scorp_	kammerer
_scorp_	lotrin
_scorp_	crazy_otaku
_scorp_	tigrafamily
_scorp_	marish_plohish
guro	ptichka
guro	kammerer
guro	lotrin
guro	gameguru_ru
guro	live13
kitya	ptichka
kitya	reanstrain
kitya	dimalad
kitya	pocket_girl
kitya	porco
kitya	crazy_otaku
kitya	tigrafamily
kitya	lapshinji
kitya	rainlegion
kitya	love_ai
kitya	oscar_6
kitya	bofhland
kitya	igor_varnavsky
kitya	mamuki
kitya	oonishi
kitya	lucas_corso
kitya	melamory_me
kitya	tverse
emelya	ptichka
emelya	perestukin
emelya	tigrafamily
katichka	ptichka
helpix	ptichka
eihwaz	ptichka
yourang	ptichka
degust	ptichka
degust	perestukin
degust	igor_varnavsky
narval	ptichka
shmu_hadron	ptichka
shmu_hadron	kammerer
shmu_hadron	tigrafamily
shmu_hadron	bofhland
shmu_hadron	live13
cat_fish	ptichka
cat_fish	kammerer
cat_fish	lotrin
cat_fish	giraffoman
cat_fish	tigrafamily
antonz	ptichka
antonz	tigrafamily
obscur_wainscot	ptichka
obscur_wainscot	giraffoman
obscur_wainscot	kaluka
vanyackiller	ptichka
vanyackiller	perestukin
vanyackiller	giraffoman
irr	ptichka
arique	ptichka
cray_days	ptichka
cray_days	kammerer
cray_days	tigrafamily
cray_days	igor_varnavsky
re_flection	ptichka
larra_vit	ptichka
larra_vit	pocket_girl
ex_wat364	ptichka
ex_wat364	kammerer
ex_wat364	perestukin
